,Action,Position,Current_Profit,Total_Profit,Reward
8214,0,0,0.0,0.0,0.0
8215,3,0,0.0,0.0,0.0
8216,0,0,0.0,0.0,0.0
8217,2,-1,-1.2000000000000455,0.0,0.0
8218,1,-1,-1.7000000000000455,0.0,0.0
8219,3,-1,-2.2000000000000455,-2.2000000000000455,-2.2000000000000455
8220,2,-1,-1.2000000000000455,-2.2000000000000455,0.0
8221,3,-1,-0.8999511718750455,-3.099951171875091,-0.8999511718750455
8222,1,1,-1.2000000000000455,-3.099951171875091,0.0
8223,0,1,-1.1000244140625455,-3.099951171875091,0.0
8224,0,1,-1.6000244140625455,-3.099951171875091,0.0
8225,2,1,-1.7999755859375455,-3.099951171875091,0.0
8226,1,1,-1.7999755859375455,-3.099951171875091,0.0
8227,2,1,-1.6000244140625455,-3.099951171875091,0.0
8228,0,1,-1.6000244140625455,-3.099951171875091,0.0
8229,0,1,-1.6000244140625455,-3.099951171875091,0.0
8230,1,1,-1.6000244140625455,-3.099951171875091,0.0
8231,1,1,-0.7999755859375455,-3.099951171875091,0.0
8232,1,1,-0.7999755859375455,-3.099951171875091,0.0
8233,2,1,-0.7999755859375455,-3.099951171875091,0.0
8234,0,1,-0.10002441406254547,-3.099951171875091,0.0
8235,0,1,-0.10002441406254547,-3.099951171875091,0.0
8236,0,1,0.20002441406245453,-3.099951171875091,0.0
8237,0,1,-0.2999755859375455,-3.099951171875091,0.0
8238,2,1,-0.2999755859375455,-3.099951171875091,0.0
8239,1,1,-0.7999755859375455,-3.099951171875091,0.0
8240,3,1,-0.6000244140625455,-3.6999755859376364,-0.6000244140625455
8241,0,0,0.0,-3.6999755859376364,0.0
8242,0,0,0.0,-3.6999755859376364,0.0
8243,1,1,-1.2000000000000455,-3.6999755859376364,0.0
8244,0,1,-1.5000488281250455,-3.6999755859376364,0.0
8245,0,1,-1.0000488281250455,-3.6999755859376364,0.0
8246,0,1,-0.7000000000000455,-3.6999755859376364,0.0
8247,2,1,-1.5000488281250455,-3.6999755859376364,0.0
8248,0,1,-1.0000488281250455,-3.6999755859376364,0.0
8249,0,1,-1.2000000000000455,-3.6999755859376364,0.0
8250,3,1,-0.6000244140625455,-4.300000000000182,-0.6000244140625455
8251,1,1,-1.2000000000000455,-4.300000000000182,0.0
8252,1,1,-1.0000488281250455,-4.300000000000182,0.0
8253,3,1,-1.2000000000000455,-5.500000000000227,-1.2000000000000455
8254,1,1,-1.2000000000000455,-5.500000000000227,0.0
8255,0,1,-0.9999267578125455,-5.500000000000227,0.0
8256,0,1,-0.8999511718750455,-5.500000000000227,0.0
8257,0,1,-1.2000000000000455,-5.500000000000227,0.0
8258,0,1,-1.2000000000000455,-5.500000000000227,0.0
8259,3,1,-1.3999511718750455,-6.899951171875273,-1.3999511718750455
8260,3,0,0.0,-6.899951171875273,0.0
8261,1,1,-1.2000000000000455,-6.899951171875273,0.0
8262,1,1,-1.2000000000000455,-6.899951171875273,0.0
8263,3,1,-1.2000000000000455,-8.099951171875318,-1.2000000000000455
8264,1,1,-1.2000000000000455,-8.099951171875318,0.0
8265,2,1,-1.2000000000000455,-8.099951171875318,0.0
8266,3,1,-1.3999511718750455,-9.499902343750364,-1.3999511718750455
8267,0,0,0.0,-9.499902343750364,0.0
8268,0,0,0.0,-9.499902343750364,0.0
8269,0,0,0.0,-9.499902343750364,0.0
8270,3,0,0.0,-9.499902343750364,0.0
8271,1,1,-1.2000000000000455,-9.499902343750364,0.0
8272,0,1,-1.5000488281250455,-9.499902343750364,0.0
8273,1,1,-1.5000488281250455,-9.499902343750364,0.0
8274,1,1,-0.7000000000000455,-9.499902343750364,0.0
8275,0,1,-0.5000488281250455,-9.499902343750364,0.0
8276,3,1,-0.5000488281250455,-9.99995117187541,-0.5000488281250455
8277,2,-1,-1.2000000000000455,-9.99995117187541,0.0
8278,3,-1,-1.3999511718750455,-11.399902343750455,-1.3999511718750455
8279,1,1,-1.2000000000000455,-11.399902343750455,0.0
8280,2,1,-1.2000000000000455,-11.399902343750455,0.0
8281,0,1,-1.2000000000000455,-11.399902343750455,0.0
8282,0,1,-1.0000488281250455,-11.399902343750455,0.0
8283,1,1,-1.2000000000000455,-11.399902343750455,0.0
8284,1,1,-1.5000488281250455,-11.399902343750455,0.0
8285,2,1,-2.0000488281250455,-11.399902343750455,0.0
8286,2,1,-2.2000000000000455,-11.399902343750455,0.0
8287,2,1,-1.7000000000000455,-11.399902343750455,0.0
8288,3,1,-1.5000488281250455,-12.8999511718755,-1.5000488281250455
8289,3,0,0.0,-12.8999511718755,0.0
8290,0,0,0.0,-12.8999511718755,0.0
8291,0,0,0.0,-12.8999511718755,0.0
8292,3,0,0.0,-12.8999511718755,0.0
8293,0,0,0.0,-12.8999511718755,0.0
8294,2,-1,-1.2000000000000455,-12.8999511718755,0.0
8295,0,-1,-2.0000488281250455,-12.8999511718755,0.0
8296,2,-1,-1.2000000000000455,-12.8999511718755,0.0
8297,3,-1,-1.2000000000000455,-14.099951171875546,-1.2000000000000455
8298,0,0,0.0,-14.099951171875546,0.0
8299,2,-1,-1.2000000000000455,-14.099951171875546,0.0
8300,0,-1,-0.7000000000000455,-14.099951171875546,0.0
8301,0,-1,-2.2000000000000455,-14.099951171875546,0.0
8302,0,-1,-1.7000000000000455,-14.099951171875546,0.0
8303,1,-1,-1.2000000000000455,-14.099951171875546,0.0
8304,1,-1,-1.0000488281250455,-14.099951171875546,0.0
8305,2,-1,-1.0000488281250455,-14.099951171875546,0.0
8306,1,-1,-0.5000488281250455,-14.099951171875546,0.0
8307,2,-1,0.7999999999999545,-14.099951171875546,0.0
8308,0,-1,0.9999511718749545,-14.099951171875546,0.0
8309,2,-1,0.2999999999999545,-14.099951171875546,0.0
8310,1,-1,0.2999999999999545,-14.099951171875546,0.0
8311,0,-1,0.2999999999999545,-14.099951171875546,0.0
8312,1,-1,0.2999999999999545,-14.099951171875546,0.0
8313,3,-1,0.9999511718749545,-13.100000000000591,0.9999511718749545
8314,0,0,0.0,-13.100000000000591,0.0
8315,3,0,0.0,-13.100000000000591,0.0
8316,1,1,-1.2000000000000455,-13.100000000000591,0.0
8317,1,1,-1.2000000000000455,-13.100000000000591,0.0
8318,2,1,-0.8999511718750455,-13.100000000000591,0.0
8319,3,1,-1.3999511718750455,-14.499951171875637,-1.3999511718750455
8320,3,0,0.0,-14.499951171875637,0.0
8321,0,0,0.0,-14.499951171875637,0.0
8322,2,-1,-1.2000000000000455,-14.499951171875637,0.0
8323,2,-1,-1.5000488281250455,-14.499951171875637,0.0
8324,1,-1,-1.2000000000000455,-14.499951171875637,0.0
8325,1,-1,-2.5000488281250455,-14.499951171875637,0.0
8326,3,-1,-2.2000000000000455,-16.699951171875682,-2.2000000000000455
8327,3,0,0.0,-16.699951171875682,0.0
8328,3,0,0.0,-16.699951171875682,0.0
8329,0,0,0.0,-16.699951171875682,0.0
8330,2,-1,-1.2000000000000455,-16.699951171875682,0.0
8331,0,-1,-1.5000488281250455,-16.699951171875682,0.0
8332,1,-1,-1.5000488281250455,-16.699951171875682,0.0
8333,2,-1,-1.0000488281250455,-16.699951171875682,0.0
8334,2,-1,-0.5000488281250455,-16.699951171875682,0.0
8335,1,-1,-0.7000000000000455,-16.699951171875682,0.0
8336,2,-1,-0.5000488281250455,-16.699951171875682,0.0
8337,2,-1,-4.8828125045474735e-05,-16.699951171875682,0.0
8338,3,-1,1.7999999999999545,-14.899951171875728,1.7999999999999545
8339,0,0,0.0,-14.899951171875728,0.0
8340,3,0,0.0,-14.899951171875728,0.0
8341,2,-1,-1.2000000000000455,-14.899951171875728,0.0
8342,1,-1,-1.7000000000000455,-14.899951171875728,0.0
8343,1,-1,-1.2000000000000455,-14.899951171875728,0.0
8344,1,-1,-1.7000000000000455,-14.899951171875728,0.0
8345,0,-1,-1.5000488281250455,-14.899951171875728,0.0
8346,1,-1,-1.7000000000000455,-14.899951171875728,0.0
8347,3,-1,-2.0000488281250455,-16.900000000000773,-2.0000488281250455
8348,0,0,0.0,-16.900000000000773,0.0
8349,0,0,0.0,-16.900000000000773,0.0
8350,3,0,0.0,-16.900000000000773,0.0
8351,1,1,-1.2000000000000455,-16.900000000000773,0.0
8352,1,1,-1.5000488281250455,-16.900000000000773,0.0
8353,2,1,-1.7000000000000455,-16.900000000000773,0.0
8354,3,1,-2.2000000000000455,-19.10000000000082,-2.2000000000000455
8355,3,0,0.0,-19.10000000000082,0.0
8356,0,0,0.0,-19.10000000000082,0.0
8357,3,0,0.0,-19.10000000000082,0.0
8358,0,0,0.0,-19.10000000000082,0.0
8359,2,-1,-1.2000000000000455,-19.10000000000082,0.0
8360,3,-1,-1.2000000000000455,-20.300000000000864,-1.2000000000000455
8361,3,0,0.0,-20.300000000000864,0.0
8362,0,0,0.0,-20.300000000000864,0.0
8363,1,1,-1.2000000000000455,-20.300000000000864,0.0
8364,1,1,-1.7000000000000455,-20.300000000000864,0.0
8365,3,1,-1.3999511718750455,-21.69995117187591,-1.3999511718750455
8366,0,0,0.0,-21.69995117187591,0.0
8367,2,-1,-1.2000000000000455,-21.69995117187591,0.0
8368,0,-1,-0.8999511718750455,-21.69995117187591,0.0
8369,1,-1,1.2999999999999545,-21.69995117187591,0.0
8370,3,-1,1.7999999999999545,-19.899951171875955,1.7999999999999545
8371,1,1,-1.2000000000000455,-19.899951171875955,0.0
8372,2,1,-1.7000000000000455,-19.899951171875955,0.0
8373,3,1,1.1000488281249545,-18.799902343751,1.1000488281249545
8374,3,0,0.0,-18.799902343751,0.0
8375,1,1,-1.2000000000000455,-18.799902343751,0.0
8376,2,1,-0.7000000000000455,-18.799902343751,0.0
8377,2,1,0.10004882812495453,-18.799902343751,0.0
8378,2,1,-1.2000000000000455,-18.799902343751,0.0
8379,1,1,-2.3999511718750455,-18.799902343751,0.0
8380,1,1,-2.2000000000000455,-18.799902343751,0.0
8381,3,1,-3.3999511718750455,-22.199853515626046,-3.3999511718750455
8382,1,1,-1.2000000000000455,-22.199853515626046,0.0
8383,1,1,-0.3999511718750455,-22.199853515626046,0.0
8384,1,1,-0.20000000000004547,-22.199853515626046,0.0
8385,0,1,-0.7000000000000455,-22.199853515626046,0.0
8386,3,1,-0.3999511718750455,-22.59980468750109,-0.3999511718750455
8387,0,0,0.0,-22.59980468750109,0.0
8388,0,0,0.0,-22.59980468750109,0.0
8389,2,-1,-1.2000000000000455,-22.59980468750109,0.0
8390,2,-1,-1.2000000000000455,-22.59980468750109,0.0
8391,0,-1,-1.2000000000000455,-22.59980468750109,0.0
8392,1,-1,-0.8999511718750455,-22.59980468750109,0.0
8393,3,-1,-1.2000000000000455,-23.799804687501137,-1.2000000000000455
8394,2,-1,-1.2000000000000455,-23.799804687501137,0.0
8395,2,-1,-4.8828125045474735e-05,-23.799804687501137,0.0
8396,3,-1,0.4999511718749545,-23.299853515626182,0.4999511718749545
8397,2,-1,-1.2000000000000455,-23.299853515626182,0.0
8398,1,-1,-1.2000000000000455,-23.299853515626182,0.0
8399,1,-1,-2.5000488281250455,-23.299853515626182,0.0
8400,0,-1,-2.6000244140625455,-23.299853515626182,0.0
8401,3,-1,-3.0000488281250455,-26.299902343751228,-3.0000488281250455
8402,1,1,-1.2000000000000455,-26.299902343751228,0.0
8403,1,1,-1.2000000000000455,-26.299902343751228,0.0
8404,0,1,-1.5000488281250455,-26.299902343751228,0.0
8405,2,1,-2.0000488281250455,-26.299902343751228,0.0
8406,2,1,-2.2000000000000455,-26.299902343751228,0.0
8407,1,1,-2.2000000000000455,-26.299902343751228,0.0
8408,0,1,-2.5000488281250455,-26.299902343751228,0.0
8409,0,1,-2.2000000000000455,-26.299902343751228,0.0
8410,3,1,-2.2000000000000455,-28.499902343751273,-2.2000000000000455
8411,0,0,0.0,-28.499902343751273,0.0
8412,3,0,0.0,-28.499902343751273,0.0
8413,1,1,-1.2000000000000455,-28.499902343751273,0.0
8414,0,1,-0.3999511718750455,-28.499902343751273,0.0
8415,1,1,-0.8999511718750455,-28.499902343751273,0.0
8416,1,1,-1.8999511718750455,-28.499902343751273,0.0
8417,0,0,0.0,0.0,0.0
8418,0,0,0.0,0.0,0.0
8419,0,0,0.0,0.0,0.0
8420,0,0,0.0,0.0,0.0
8421,0,0,0.0,0.0,0.0
8422,0,0,0.0,0.0,0.0
8423,0,0,0.0,0.0,0.0
8424,0,0,0.0,0.0,0.0
8425,0,0,0.0,0.0,0.0
8426,0,0,0.0,0.0,0.0
8427,0,0,0.0,0.0,0.0
8428,0,0,0.0,0.0,0.0
8429,0,0,0.0,0.0,0.0
8430,0,0,0.0,0.0,0.0
8431,0,0,0.0,0.0,0.0
8432,0,0,0.0,0.0,0.0
8433,0,0,0.0,0.0,0.0
8434,0,0,0.0,0.0,0.0
8435,0,0,0.0,0.0,0.0
8436,0,0,0.0,0.0,0.0
8437,0,0,0.0,0.0,0.0
8438,0,0,0.0,0.0,0.0
8439,0,0,0.0,0.0,0.0
8440,0,0,0.0,0.0,0.0
8441,0,0,0.0,0.0,0.0
8442,0,0,0.0,0.0,0.0
8443,0,0,0.0,0.0,0.0
8444,0,0,0.0,0.0,0.0
8445,0,0,0.0,0.0,0.0
8446,0,0,0.0,0.0,0.0
8447,0,0,0.0,0.0,0.0
8448,0,0,0.0,0.0,0.0
8449,0,0,0.0,0.0,0.0
8450,0,0,0.0,0.0,0.0
8451,0,0,0.0,0.0,0.0
8452,0,0,0.0,0.0,0.0
8453,0,0,0.0,0.0,0.0
8454,0,0,0.0,0.0,0.0
8455,0,0,0.0,0.0,0.0
8456,0,0,0.0,0.0,0.0
8457,0,0,0.0,0.0,0.0
8458,0,0,0.0,0.0,0.0
8459,0,0,0.0,0.0,0.0
8460,0,0,0.0,0.0,0.0
8461,0,0,0.0,0.0,0.0
8462,0,0,0.0,0.0,0.0
8463,0,0,0.0,0.0,0.0
8464,0,0,0.0,0.0,0.0
8465,0,0,0.0,0.0,0.0
8466,0,0,0.0,0.0,0.0
8467,0,0,0.0,0.0,0.0
8468,0,0,0.0,0.0,0.0
8469,0,0,0.0,0.0,0.0
8470,0,0,0.0,0.0,0.0
8471,0,0,0.0,0.0,0.0
8472,0,0,0.0,0.0,0.0
8473,0,0,0.0,0.0,0.0
8474,0,0,0.0,0.0,0.0
8475,0,0,0.0,0.0,0.0
8476,0,0,0.0,0.0,0.0
8477,0,0,0.0,0.0,0.0
8478,0,0,0.0,0.0,0.0
8479,0,0,0.0,0.0,0.0
8480,0,0,0.0,0.0,0.0
8481,0,0,0.0,0.0,0.0
8482,0,0,0.0,0.0,0.0
8483,0,0,0.0,0.0,0.0
8484,0,0,0.0,0.0,0.0
8485,0,0,0.0,0.0,0.0
8486,0,0,0.0,0.0,0.0
8487,0,0,0.0,0.0,0.0
8488,0,0,0.0,0.0,0.0
8489,0,0,0.0,0.0,0.0
8490,0,0,0.0,0.0,0.0
8491,0,0,0.0,0.0,0.0
8492,0,0,0.0,0.0,0.0
8493,0,0,0.0,0.0,0.0
8494,0,0,0.0,0.0,0.0
8495,0,0,0.0,0.0,0.0
8496,0,0,0.0,0.0,0.0
8497,0,0,0.0,0.0,0.0
8498,0,0,0.0,0.0,0.0
8499,0,0,0.0,0.0,0.0
8500,0,0,0.0,0.0,0.0
8501,0,0,0.0,0.0,0.0
8502,0,0,0.0,0.0,0.0
8503,0,0,0.0,0.0,0.0
8504,0,0,0.0,0.0,0.0
8505,0,0,0.0,0.0,0.0
8506,0,0,0.0,0.0,0.0
8507,0,0,0.0,0.0,0.0
8508,0,0,0.0,0.0,0.0
8509,0,0,0.0,0.0,0.0
8510,0,0,0.0,0.0,0.0
8511,0,0,0.0,0.0,0.0
8512,0,0,0.0,0.0,0.0
8513,0,0,0.0,0.0,0.0
8514,0,0,0.0,0.0,0.0
8515,0,0,0.0,0.0,0.0
8516,0,0,0.0,0.0,0.0
8517,0,0,0.0,0.0,0.0
